Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3023946, -0.3728248, 1.155715, -0.00640671, -0.02572013, 0.02594117, 0.999312, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
7, 0.3023858, -0.3728214, 1.155725, -0.006412367, -0.02568724, 0.02590561, 0.9993138, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
15, 0.3023801, -0.3728219, 1.155722, -0.00640094, -0.02565929, 0.02594518, 0.9993136, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
24, 0.30239, -0.3728307, 1.155715, -0.006391915, -0.02567065, 0.02596239, 0.9993128, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
32, 0.3023978, -0.3728226, 1.155715, -0.006376627, -0.02568181, 0.0259409, 0.9993132, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
40, 0.3023978, -0.3728209, 1.155708, -0.006394618, -0.0256909, 0.0259335, 0.9993131, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
48, 0.3023713, -0.3728063, 1.155673, -0.006369862, -0.02556922, 0.02590564, 0.9993171, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
57, 0.302393, -0.3728301, 1.155725, -0.006357502, -0.02568785, 0.02590542, 0.9993141, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
65, 0.3023942, -0.3728307, 1.155717, -0.006390693, -0.02566982, 0.02594454, 0.9993134, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
74, 0.302399, -0.3728155, 1.155706, -0.006343319, -0.02566781, 0.02590527, 0.9993148, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
83, 0.3023986, -0.3728139, 1.155691, -0.006392773, -0.02567405, 0.02594087, 0.9993134, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
90, 0.3024017, -0.3728221, 1.155714, -0.006353911, -0.02568822, 0.02593101, 0.9993135, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
99, 0.3023988, -0.3728261, 1.155726, -0.006415273, -0.02567452, 0.02597379, 0.9993123, 0.001001463, -0.008061482, -0.00013019, 0.9999672, -0.01466033, 0.03176406, 0.008551861, 0.007568359, 1.011475, 0.003173828, -0.04135884, -0.2329392, 0.2323096, 0.9939685, 1
107, 0.3023865, -0.3728281, 1.155717, -0.006362469, -0.02569163, 0.02592061, 0.9993137, -7.229846E-06, 7.062896E-06, -6.777234E-06, 1, -0.008551861, 0.008551861, 0.008551861, 0.006835938, 1.004883, 0.005371094, -0.04405854, -0.2328213, 0.2315259, 1, 1
115, 0.3023813, -0.3728181, 1.155702, -0.006391156, -0.02567042, 0.0259288, 0.9993138, -9.737811E-06, -4.441812E-06, -1.102826E-05, 1, -0.01221694, 0.006108472, -0.004886778, 0.006835938, 1.012207, 0.004882813, -0.04405668, -0.2327203, 0.2316161, 0.9910327, 1
124, 0.302389, -0.3728299, 1.155729, -0.006367557, -0.02567264, 0.0259638, 0.9993129, -1.021288E-05, -2.691592E-05, -3.837841E-05, 1, -0.02076881, 0.01343864, 0.003665083, 0.005615234, 1.008301, 0.006347656, -0.04405513, -0.232531, 0.2317964, 1, 1
