Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0,0.3037328,-0.3730226,1.155874,-0.006012823,-0.02592179,0.01999555,0.9994459,6.00E-05,7.03E-05,-5.69E-05,0.9999999,-0.01343864,0.003665083,-0.008551861,0.01098633,1.013184,0.005371094,-0.04111535,-0.2314229,0.2343956,0.9869705,1
7,0.3037251,-0.3730008,1.155842,-0.006026185,-0.02593934,0.02000863,0.9994451,6.00E-05,7.03E-05,-5.69E-05,0.9999999,-0.01343864,0.003665083,-0.008551861,0.01098633,1.013184,0.005371094,-0.04111535,-0.2314229,0.2343956,0.9869705,1
15,0.3037313,-0.3730043,1.155856,-0.006038602,-0.02593059,0.01999818,0.9994455,3.38E-05,7.22E-05,-7.79E-05,0.9999999,-0.007330167,0.01221694,0.003665083,0.008789063,1.01001,0.002441406,-0.04110046,-0.2313818,0.2344049,0.9997965,1
24,0.3037373,-0.3730103,1.155859,-0.00602794,-0.02592545,0.01999973,0.9994456,7.80E-05,5.44E-05,-7.02E-05,0.9999999,-0.002443389,0.006108472,-0.007330167,0.01171875,1.01001,0.007080078,-0.04112238,-0.231378,0.2343958,0.99959,1
32,0.3037355,-0.3730112,1.155854,-0.006006189,-0.0259141,0.01999759,0.9994462,7.80E-05,5.44E-05,-7.02E-05,0.9999999,-0.002443389,0.006108472,-0.007330167,0.01171875,1.01001,0.007080078,-0.04112238,-0.231378,0.2343958,0.99959,1
41,0.3037351,-0.3730055,1.155853,-0.006013099,-0.02595482,0.01998964,0.9994452,0.00010523,7.20E-05,-0.000125728,0.9999999,-0.01343864,0.01710372,-0.006108472,0.006347656,1.008301,0.004150391,-0.04111931,-0.2313977,0.2343416,1,1
49,0.3037343,-0.3729956,1.155855,-0.005997576,-0.02593216,0.02001164,0.9994454,0.000119328,4.68E-05,-0.000136522,0.9999999,-0.009773556,0.008551861,0.007330167,0.009521484,1.007324,0.002197266,-0.04108608,-0.2313754,0.2342972,1,1
57,0.3037375,-0.3729994,1.155858,-0.006055772,-0.02596326,0.01998389,0.9994448,0.000119328,4.68E-05,-0.000136522,0.9999999,-0.009773556,0.008551861,0.007330167,0.009521484,1.007324,0.002197266,-0.04108608,-0.2313754,0.2342972,1,1
66,0.3037411,-0.3730083,1.155853,-0.006043388,-0.02594161,0.01997187,0.9994457,0.000130745,6.58E-05,-0.000129341,0.9999999,0.004886778,0,-0.002443389,0.01098633,1.009277,0.003173828,-0.04103747,-0.2313427,0.2342595,1,1
74,0.303735,-0.3729949,1.155857,-0.006024509,-0.02591305,0.01997453,0.9994465,0.000144451,4.50E-05,-0.000144843,0.9999998,-0.01221694,0.01343864,0.003665083,0.005859375,1.01001,0.004150391,-0.04107889,-0.2313579,0.2342714,0.9998589,1
