Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3020537, -0.3729763, 1.154151, 0.002899739, -0.001418223, 0.0177791, 0.9998367, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
8, 0.3020528, -0.3729808, 1.15416, 0.002910558, -0.001465746, 0.01778081, 0.9998367, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
16, 0.3020512, -0.3729921, 1.154166, 0.002915553, -0.001437777, 0.01779574, 0.9998364, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
25, 0.302038, -0.3729762, 1.154147, 0.002894721, -0.001451552, 0.01776536, 0.999837, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
33, 0.3020352, -0.3729762, 1.154157, 0.002859493, -0.001443853, 0.01775983, 0.9998372, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
43, 0.3020388, -0.3729733, 1.15416, 0.002919696, -0.001425375, 0.01776249, 0.999837, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
50, 0.3020383, -0.372986, 1.154159, 0.002908653, -0.001427445, 0.01772896, 0.9998377, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
58, 0.3020388, -0.3729843, 1.154147, 0.002887887, -0.001418488, 0.01778691, 0.9998366, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
66, 0.3020404, -0.3729752, 1.15417, 0.002887129, -0.001449303, 0.01776323, 0.999837, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
75, 0.3020369, -0.3729787, 1.154156, 0.00289999, -0.001409585, 0.0177577, 0.9998372, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
83, 0.3020451, -0.3729842, 1.154156, 0.002911791, -0.001430045, 0.01780414, 0.9998363, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
91, 0.3020475, -0.3729836, 1.154155, 0.002877249, -0.001414954, 0.01775722, 0.9998373, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
102, 0.3020603, -0.3729744, 1.154161, 0.002906797, -0.001437986, 0.01775335, 0.9998372, 6.973309E-05, 1.74883E-05, -5.456479E-05, 0.9999999, -0.01099525, 0.02076881, 0, 0.01245117, 1.011475, 0.002929688, -0.04500858, -0.2331245, 0.2319209, 0.9937783, 1
108, 0.3020652, -0.3729871, 1.154173, 0.002861953, -0.001460559, 0.01779155, 0.9998366, 6.973309E-05, 1.74883E-05, -5.456479E-05, 0.9999999, -0.01343864, 0.008551861, -0.01099525, 0.01269531, 1.008057, 0.001220703, -0.04507703, -0.2329713, 0.2318631, 1, 1
117, 0.3020507, -0.372991, 1.154172, 0.002886805, -0.001448091, 0.01775705, 0.9998372, 1.881907E-05, 9.463675E-05, -4.460616E-05, 0.9999999, -0.01343864, 0.008551861, -0.01099525, 0.01269531, 1.008057, 0.001220703, -0.04521499, -0.2329148, 0.2318125, 0.9976984, 1
125, 0.3020357, -0.3729855, 1.154146, 0.002904654, -0.001417523, 0.017788, 0.9998366, 3.195289E-05, 0.0001058876, -5.013449E-05, 0.9999998, -0.007330167, 0.01954711, 0.006108472, 0.01245117, 1.010498, 0.001220703, -0.04521499, -0.2329148, 0.2318125, 0.9976984, 1
133, 0.3020367, -0.372975, 1.154141, 0.002891292, -0.001427042, 0.01775282, 0.9998373, 4.413477E-05, 0.0001620352, -3.126543E-05, 0.9999999, -0.009773556, 0.02076881, -0.006108472, 0.01196289, 1.010986, 0.003417969, -0.04541453, -0.2329238, 0.2317628, 0.9957486, 1
142, 0.3020419, -0.3729731, 1.154149, 0.002873211, -0.001435655, 0.01777693, 0.9998368, 3.23176E-05, 0.0002524741, -1.840247E-05, 0.9999998, -0.01221694, 0.01832542, 0.007330167, 0.009033203, 1.010986, -0.0002441406, -0.045377, -0.233007, 0.2316416, 0.9958935, 1
150, 0.3020461, -0.3729815, 1.154153, 0.00294314, -0.001394203, 0.01776874, 0.9998369, 3.23176E-05, 0.0002524741, -1.840247E-05, 0.9999998, -0.01221694, 0.01832542, 0.007330167, 0.009033203, 1.010986, -0.0002441406, -0.04529891, -0.2330894, 0.2315625, 1, 1
