Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0,0.3043763,-0.3727691,1.155931,-0.006401241,-0.02634039,0.02457738,0.9993305,-6.86E-05,3.61E-05,4.76E-05,1,-0.003665083,0.01466033,0.004886778,0.009765625,1.009521,0.001953125,-0.03998506,-0.2327465,0.2329491,1,1
7,0.304391,-0.3727624,1.155931,-0.006427263,-0.02635898,0.02458197,0.9993296,-8.79E-05,6.74E-05,-1.15E-05,1,-0.001221695,0.02321219,0.01099525,0.009765625,1.010986,0.001708984,-0.03978667,-0.2326981,0.2330721,0.9958606,1
15,0.3044099,-0.3727587,1.155941,-0.006443619,-0.02634728,0.02458217,0.9993299,-6.12E-05,7.42E-05,2.46E-06,1,0.003665083,0.01710372,0.001221695,0.01123047,1.008301,0.004638672,-0.03990507,-0.2325791,0.2331411,1,1
24,0.304406,-0.3727568,1.155929,-0.006426028,-0.02636928,0.0245718,0.9993296,-2.59E-05,8.09E-05,1.94E-05,1,-0.01343864,0.01588203,-0.002443389,0.008544922,1.009766,0.001953125,-0.04008827,-0.2323953,0.2329857,1,1
32,0.3043995,-0.3727649,1.155922,-0.006431567,-0.02636589,0.0246134,0.9993286,-4.53E-05,7.07E-05,2.43E-05,1,0.002443389,0.001221695,0.007330167,0.01171875,1.008789,0.004394531,-0.04015244,-0.2322924,0.2328723,1,1
40,0.3043946,-0.3727743,1.155935,-0.006417799,-0.02638344,0.02460193,0.9993286,-9.11E-06,6.70E-05,3.81E-05,1,-0.004886778,0.01466033,-0.001221695,0.01049805,1.007813,0.001464844,-0.04009441,-0.2322774,0.2328093,1,1
49,0.3043908,-0.3727881,1.155955,-0.006449314,-0.02637666,0.02457071,0.9993293,-9.11E-06,6.70E-05,3.81E-05,1,-0.004886778,0.01466033,-0.001221695,0.01049805,1.007813,0.001464844,-0.04009441,-0.2322774,0.2328093,1,1
57,0.3043841,-0.3727664,1.15593,-0.006437668,-0.02629454,0.02458275,0.9993312,-9.11E-06,6.70E-05,3.81E-05,1,-0.004886778,0.01466033,-0.001221695,0.01049805,1.007813,0.001464844,-0.04011487,-0.2324026,0.232688,0.9966684,1
65,0.3043959,-0.3727631,1.155947,-0.00640998,-0.02640047,0.02458846,0.9993286,-6.59E-05,0.000117763,5.84E-05,1,-0.02076881,0.01588203,-0.004886778,0.01220703,1.010742,0.005859375,-0.04011487,-0.2324026,0.232688,0.9966684,1
74,0.3044108,-0.3727612,1.155949,-0.006465037,-0.02637993,0.02458029,0.9993289,-9.50E-05,8.58E-05,6.51E-05,1,-0.003665083,0.02321219,0.006108472,0.009033203,1.008301,0.004394531,-0.0398762,-0.2322699,0.2324712,0.9997602,1
84,0.3044106,-0.3727627,1.155934,-0.0064724,-0.02637263,0.02462734,0.9993279,-0.000193996,3.16E-05,4.91E-05,0.9999999,-0.01588203,0.01832542,-0.004886778,0.008789063,1.010254,0.003173828,-0.04004566,-0.2323989,0.2322223,0.9988118,1
