Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3066711, -0.3727856, 1.156715, 0.002021172, -0.02856194, 0.01818512, 0.9994246, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
8, 0.3066527, -0.3728061, 1.156703, 0.002132966, -0.02853339, 0.01829588, 0.9994231, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
16, 0.3066255, -0.3728176, 1.156696, 0.002211113, -0.02855383, 0.0184468, 0.9994196, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
24, 0.3065986, -0.3728079, 1.156691, 0.00230577, -0.02853893, 0.01864824, 0.9994161, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
32, 0.3065752, -0.3728028, 1.156698, 0.002307339, -0.02854684, 0.01879925, 0.9994131, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
41, 0.3065576, -0.3728085, 1.156707, 0.002312417, -0.02858048, 0.0189064, 0.99941, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
50, 0.3065355, -0.3728025, 1.156704, 0.00236661, -0.02860377, 0.01900918, 0.9994074, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
58, 0.3065097, -0.3727859, 1.156693, 0.002393897, -0.02859093, 0.01903989, 0.999407, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
67, 0.3064876, -0.37276, 1.15669, 0.002391783, -0.02850735, 0.01911936, 0.9994079, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
74, 0.3064821, -0.372765, 1.156701, 0.002474732, -0.02852627, 0.0192095, 0.9994054, -0.0002689374, -0.006200632, 5.589053E-05, 0.9999806, -0.01466033, 0.01954711, 0.004886778, 0.01049805, 1.011963, 0.0004882813, -0.0307184, -0.2326914, 0.2326568, 0.9919305, 1
