Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3373953, -0.3694083, 1.145241, 0.002812969, -0.008934163, -0.04109558, 0.9991114, -0.0003190851, -2.921652E-05, 0.0001289062, 1, 0.006108472, 0.01343864, -0.03176406, -0.123291, 1.008789, 0.02758789, -0.04197006, -0.08294237, 0.2507999, 0.9733215, 1
6, 0.3374043, -0.3694079, 1.145268, 0.002816202, -0.008922916, -0.04112382, 0.9991103, -0.0003136159, 1.038983E-05, 9.829411E-05, 0.9999999, -0.002443389, 0.002443389, -0.03054236, -0.126709, 1.009521, 0.02539063, -0.04193825, -0.0829987, 0.250784, 0.9689642, 1
14, 0.3374016, -0.3694069, 1.145229, 0.002797486, -0.008954264, -0.04111744, 0.9991103, -0.0003136159, 1.038983E-05, 9.829411E-05, 0.9999999, -0.002443389, 0.002443389, -0.03054236, -0.126709, 1.009521, 0.02539063, -0.04189799, -0.08297189, 0.2507773, 0.9576307, 1
23, 0.337411, -0.3694136, 1.145233, 0.002780048, -0.008926038, -0.04111358, 0.9991108, -0.0003144052, 1.595425E-05, 7.485598E-05, 0.9999999, -0.003665083, 0.004886778, -0.01832542, -0.1230469, 1.012695, 0.03027344, -0.04189799, -0.08297189, 0.2507773, 0.9576307, 1
31, 0.3374112, -0.3694179, 1.14525, 0.002812995, -0.00892607, -0.04107212, 0.9991124, -0.0003006095, 4.348112E-05, 5.169259E-05, 1, 0, 0.01710372, -0.02321219, -0.1230469, 1.010254, 0.02587891, -0.04192464, -0.08298726, 0.2507589, 0.967805, 1
39, 0.3373987, -0.3694108, 1.14525, 0.002820943, -0.008889167, -0.04112136, 0.9991107, -0.0003133127, 6.338023E-05, 3.814185E-05, 1, 0.001221695, 0.01343864, -0.02565558, -0.1247559, 1.010498, 0.02490234, -0.04189364, -0.0829516, 0.2507894, 0.9661022, 1
48, 0.337393, -0.3694159, 1.145241, 0.002821097, -0.008914193, -0.04111379, 0.9991108, -0.000314163, 9.89181E-05, 1.746509E-05, 0.9999999, -0.001221695, 0.01710372, -0.03176406, -0.125, 1.008545, 0.02807617, -0.04186583, -0.08296739, 0.2508433, 0.9734026, 1
56, 0.3373876, -0.3694155, 1.14523, 0.002833877, -0.00892868, -0.04112744, 0.99911, -0.0003105728, 0.000110117, 2.80505E-05, 0.9999999, -0.001221695, 0.003665083, -0.03298575, -0.1242676, 1.006836, 0.02270508, -0.04182466, -0.08299728, 0.2508829, 0.9810811, 1
72, 0.337401, -0.3694131, 1.145249, 0.002810913, -0.008942476, -0.04106952, 0.9991123, -0.0003127339, 0.0001333186, 1.625624E-06, 1, -0.001221695, 0.003665083, -0.03298575, -0.1242676, 1.006836, 0.02270508, -0.04182466, -0.08299728, 0.2508829, 0.9810811, 1
75, 0.3374124, -0.3694, 1.145251, 0.00278562, -0.008931814, -0.04110444, 0.9991112, -0.0003127339, 0.0001333186, 1.625624E-06, 1, -0.001221695, 0.003665083, -0.03298575, -0.126709, 1.005859, 0.02758789, -0.04191724, -0.08294867, 0.2509069, 0.983264, 1
81, 0.3374229, -0.3694079, 1.145245, 0.002806604, -0.008945972, -0.04109677, 0.9991112, -0.0003278712, 0.0001444919, 2.363184E-05, 1, -0.007330167, 0.004886778, -0.03665084, -0.126709, 1.005859, 0.02758789, -0.04191724, -0.08294867, 0.2509069, 0.983264, 1
90, 0.3374189, -0.3694202, 1.145247, 0.002841126, -0.008905134, -0.04109679, 0.9991115, -0.0003530318, 0.0001569563, 9.310432E-06, 1, 0.006108472, 0.01588203, -0.01221694, -0.1235352, 1.009033, 0.02685547, -0.04191391, -0.0829412, 0.2509347, 0.9723125, 1
98, 0.337401, -0.369409, 1.145225, 0.00281641, -0.008924012, -0.04112624, 0.9991102, -0.0003479333, 0.0001687792, 4.531816E-05, 0.9999999, -0.009773556, 0.01221694, -0.02076881, -0.1235352, 1.010498, 0.02026367, -0.04191955, -0.08297031, 0.2509802, 0.9671088, 1
106, 0.3373943, -0.3694085, 1.145233, 0.002811592, -0.008904168, -0.04111099, 0.9991109, -0.0003845799, 0.0001678993, 4.758732E-05, 0.9999999, 0.003665083, 0.008551861, -0.03420744, -0.1269531, 1.008789, 0.03125, -0.04199588, -0.08302223, 0.2509467, 0.9710956, 1
123, 0.3373989, -0.3694174, 1.145247, 0.002779272, -0.008901649, -0.04109782, 0.9991117, -0.0003845799, 0.0001678993, 4.758732E-05, 0.9999999, 0.003665083, 0.008551861, -0.03420744, -0.1269531, 1.008789, 0.03125, -0.04199588, -0.08302223, 0.2509467, 0.9710956, 1
125, 0.3374061, -0.3694122, 1.145242, 0.002767114, -0.008900686, -0.04113776, 0.99911, -0.0003845799, 0.0001678993, 4.758732E-05, 0.9999999, -0.009773556, 0.002443389, -0.02565558, -0.1237793, 1.007324, 0.02758789, -0.04203649, -0.08296789, 0.250983, 0.9788981, 1
