Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0,0.3020931,-0.3727659,1.155837,-0.006452302,-0.01522448,0.02687767,0.999502,0.000762866,-1.33E-05,0.000178216,0.9999997,-0.001221695,0.03542914,-0.003665083,0.01000977,1.015381,0.009765625,-0.04716986,-0.2330841,0.231637,0.9780918,1
7,0.3020911,-0.3727453,1.155827,-0.00643036,-0.01525606,0.02689405,0.9995012,0.000786536,0.000103248,0.000213523,0.9999998,-0.008551861,0.01343864,-0.01099525,0.006347656,1.007813,0.004882813,-0.04728578,-0.2329333,0.2316016,1,1
15,0.3020833,-0.3727497,1.155837,-0.006407513,-0.01522379,0.02692598,0.999501,0.000786536,0.000103248,0.000213523,0.9999998,-0.008551861,0.01343864,-0.01099525,0.008789063,1.012939,0.007324219,-0.04732021,-0.2330161,0.2315681,0.9879838,1
24,0.302077,-0.3727688,1.155841,-0.006465616,-0.01522435,0.02687592,0.999502,0.00079812,0.000124899,0.000180074,0.9999998,-0.009773556,0.01466033,-0.003665083,0.008789063,1.012939,0.007324219,-0.04732021,-0.2330161,0.2315681,0.9879838,1
34,0.3020611,-0.3727675,1.155827,-0.006493628,-0.01520421,0.02688253,0.9995019,0.000766075,0.000181367,0.000174028,0.9999997,-0.01466033,0.02565558,0.001221695,0.008544922,1.011719,0.006835938,-0.04731449,-0.2330181,0.231536,0.9928885,1
40,0.3020574,-0.372758,1.155828,-0.006473454,-0.015213,0.02690442,0.9995013,0.000853707,0.000164621,0.000170704,0.9999998,-0.007330167,0.01466033,0.003665083,0.008300781,1.011475,0.006835938,-0.04729239,-0.232952,0.2315732,0.9938732,1
48,0.3020634,-0.3727556,1.15584,-0.00647271,-0.01522903,0.02690171,0.9995012,0.000889375,0.000165463,0.000184615,0.9999996,-0.01221694,0.0219905,0.002443389,0.008789063,1.012695,0.005859375,-0.04732566,-0.232958,0.2316901,0.9889985,1
59,0.3020721,-0.3727541,1.155835,-0.006441969,-0.01525945,0.02689857,0.999501,0.000889375,0.000165463,0.000184615,0.9999996,-0.01221694,0.0219905,0.002443389,0.008789063,1.012695,0.005859375,-0.04728361,-0.2329635,0.2316511,1,1
65,0.3020794,-0.3727615,1.155834,-0.006493911,-0.01524539,0.02692362,0.9995002,0.000896425,0.000202869,0.000202389,0.9999996,-0.01099525,0.0219905,-0.002443389,0.01049805,1.009521,0.009277344,-0.04728361,-0.2329635,0.2316511,1,1
74,0.3020809,-0.3727527,1.155839,-0.006457957,-0.01522364,0.02688874,0.9995017,0.000929167,0.000234262,0.000219767,0.9999996,-0.003665083,0.008551861,0.002443389,0.007324219,1.004883,0.007324219,-0.04714192,-0.2331461,0.2315173,1,1
