Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_x, mag_y, mag_z, stillness, isTracked
0, 0.3026894, -0.3727754, 1.155806, -0.006378771, -0.02740014, 0.02568579, 0.9992741, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
9, 0.3026896, -0.3727741, 1.155802, -0.006392073, -0.02741345, 0.02564125, 0.9992748, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
19, 0.302685, -0.3727905, 1.155791, -0.006340407, -0.02742237, 0.02566882, 0.9992743, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
24, 0.3026854, -0.3727967, 1.155802, -0.006399744, -0.02741023, 0.02563787, 0.999275, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
32, 0.302681, -0.3727796, 1.155785, -0.006385956, -0.02741043, 0.02564242, 0.9992749, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
40, 0.3026856, -0.3727694, 1.155776, -0.006423442, -0.0274223, 0.02564933, 0.9992743, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
48, 0.302704, -0.3727726, 1.155777, -0.00639739, -0.02740662, 0.02566747, 0.9992744, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
57, 0.3027178, -0.37279, 1.155784, -0.006379491, -0.02741729, 0.02565078, 0.9992746, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
66, 0.302712, -0.3727818, 1.155775, -0.006410862, -0.02743845, 0.02562413, 0.9992744, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
74, 0.3027042, -0.3727861, 1.155792, -0.006413911, -0.02741197, 0.02567855, 0.9992738, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
82, 0.3026874, -0.3727762, 1.155786, -0.006374927, -0.027391, 0.02569387, 0.9992743, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
90, 0.3026768, -0.3727891, 1.155787, -0.006425806, -0.02740356, 0.02566357, 0.9992744, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
98, 0.3026793, -0.3727936, 1.155797, -0.006385999, -0.02741184, 0.02561625, 0.9992756, -0.0006389663, -0.009627426, 7.659895E-05, 0.9999536, -0.01466033, 0.02565558, 0.006108472, 0.007568359, 1.011475, 0.01025391, -0.04131963, -0.2327345, 0.2319554, 0.9937807, 1
